"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Pennsylvania",1188,101362,1.17,12788468,9.29
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Pennsylvania",1137,101614,1.12,12794679,8.89
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Pennsylvania",1190,102109,1.17,12809107,9.29
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Pennsylvania",1059,102864,1.03,12798883,8.27
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Pennsylvania",1129,87982,1.28,12783254,8.83
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


