"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",66,64,65,51,45,51,84,59,57,67
,"Rural",7,10,5,6,7,10,19,16,3,12
,"Urban",59,54,60,45,38,41,65,42,54,55
,"Unknown",0,0,0,0,0,0,0,1,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.84,0.82,0.84,0.66,0.57,0.64,1.05,0.74,0.75,0.98
,"Rural",0.80,1.19,0.55,0.68,0.79,1.10,2.10,1.75,0.33,1.55
,"Urban",0.84,0.78,0.87,0.66,0.55,0.58,0.92,0.59,0.81,0.90
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",37,49,37,24,27,30,49,30,35,34
,"Restrained",13,27,17,14,10,14,24,13,15,11
,"Unrestrained (C-4)",23,20,19,10,16,15,24,13,18,17
,"Unknown",1,2,1,0,1,1,1,4,2,6
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,26,28,23,17,19,19,35,22,24,28
"Speeding-Related Fatalities (C-6)",,23,30,17,13,20,23,41,30,36,20
"Motorcyclist Fatalities","Total (C-7)",15,8,11,10,9,4,11,18,13,13
,"Helmeted",6,3,5,3,5,0,6,7,9,6
,"Unhelmeted (C-8)",9,5,6,7,4,4,5,10,3,6

,"Unknown",0,0,0,0,0,0,0,1,1,1
"Drivers Involved in Fatal Crashes","Total",82,87,83,64,58,66,104,82,74,91
,"Aged Under 15",0,0,0,0,0,0,0,1,0,0
,"Aged 15-20",4,4,7,4,6,9,13,5,3,8
,"Aged Under 21 (C-9)",4,4,7,4,6,9,13,6,3,8
,"Aged 21 and Over",78,83,74,60,51,57,91,76,70,80
,"Unknown Age",0,0,2,0,1,0,0,0,1,3
"Pedestrian Fatalities (C-10)",,14,5,14,14,8,14,21,7,8,17
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,0,2,3,0,0,2,2,1,0,2
"Observed Seat Belt Use*** (B-1)",,80,78,86,87,87,88,88,89,88,88


