Year,State,Total Fatalities,Alcohol-Impaired Driving Fatalities (BAC,,
2016,Alabama,1083,298,27,0.43
2017,Alabama,948,265,28,0.37
2018,Alabama,953,249,26,0.35
2019,Alabama,930,272,29,0.38
2020,Alabama,934,236,25,0.35
2016,Alaska,84,31,36,0.58
2017,Alaska,79,23,30,0.42
2018,Alaska,80,27,34,0.49
2019,Alaska,67,21,32,0.36
2020,Alaska,64,14,22,0.26
2016,Arizona,952,244,26,0.37
2017,Arizona,998,270,27,0.41
2018,Arizona,1011,298,29,0.45
2019,Arizona,979,259,26,0.37
2020,Arizona,1054,293,28,0.45
2016,Arkansas,561,130,23,0.36
2017,Arkansas,525,146,28,0.4
2018,Arkansas,520,135,26,0.37
2019,Arkansas,511,131,26,0.35
2020,Arkansas,638,166,26,0.49
2016,California,3837,1114,29,0.33
2017,California,3884,1141,29,0.33
2018,California,3798,1116,29,0.32
2019,California,3719,966,26,0.28
2020,California,3847,1159,30,0.39
2016,Colorado,608,163,27,0.31
2017,Colorado,648,177,27,0.33
2018,Colorado,632,192,30,0.36
2019,Colorado,597,160,27,0.29
2020,Colorado,622,186,30,0.38
2016,Connecticut,304,114,37,0.36
2017,Connecticut,281,122,43,0.39
2018,Connecticut,293,120,41,0.38
2019,Connecticut,249,98,39,0.31
2020,Connecticut,295,118,40,0.39
2016,Delaware,119,37,31,0.36
2017,Delaware,119,31,26,0.29
2018,Delaware,111,28,25,0.28
2019,Delaware,132,32,24,0.31
2020,Delaware,116,27,23,0.32
2016,Florida,3176,901,28,0.42
2017,Florida,3116,834,27,0.38
2018,Florida,3135,822,26,0.37
2019,Florida,3185,775,24,0.34
2020,Florida,3331,871,26,0.42
2016,Georgia,1556,378,24,0.31
2017,Georgia,1540,357,23,0.29
2018,Georgia,1505,379,25,0.29
2019,Georgia,1492,355,24,0.27
2020,Georgia,1664,402,24,0.35
2016,Hawaii,120,37,30,0.34
2017,Hawaii,107,42,39,0.39
2018,Hawaii,117,38,32,0.35
2019,Hawaii,108,36,33,0.33
