"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",828,863,767,823,979,1020,989,1036,1006,1064
,"Rural",694,748,614,570,555,613,688,679,689,782
,"Urban",134,115,153,253,424,407,301,357,317,282
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.70,1.76,1.57,1.65,1.89,1.87,1.78,1.82,1.74,1.97
,"Rural",2.97,3.19,2.62,2.52,2.35,2.47,2.72,2.65,2.65,3.21
,"Urban",0.53,0.45,0.60,0.93,1.51,1.37,1.00,1.14,0.99,0.95
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",547,567,488,567,618,633,643,677,629,700
,"Restrained",248,217,214,268,280,285,298,314,291,296
,"Unrestrained (C-4)",258,313,242,275,308,315,308,331,300,372
,"Unknown",41,37,32,24,30,33,37,32,38,32
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,309,348,339,331,306,343,305,290,276,315
"Speeding-Related Fatalities (C-6)",,278,322,305,307,366,393,417,450,459,494

"Motorcyclist Fatalities","Total (C-7)",129,146,149,121,185,186,145,141,154,137
,"Helmeted",27,43,43,24,54,52,44,41,35,45
,"Unhelmeted (C-8)",100,102,106,96,131,134,99,98,116,92
,"Unknown",2,1,0,1,0,0,2,2,3,0
"Drivers Involved in Fatal Crashes","Total",1086,1152,1027,1091,1403,1405,1361,1464,1387,1430
,"Aged Under 15",0,0,2,1,0,4,0,2,0,3
,"Aged 15-20",107,126,96,118,121,104,121,134,96,120
,"Aged Under 21 (C-9)",107,126,98,119,121,108,121,136,96,123
,"Aged 21 and Over",966,1007,911,963,1266,1273,1224,1309,1272,1288
,"Unknown Age",13,19,18,9,16,24,16,19,19,19
"Pedestrian Fatalities (C-10)",,113,123,100,107,123,144,155,165,163,187
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,15,13,15,14,16,25,17,23,26,14
"Observed Seat Belt Use*** (B-1)",,86,91,92,90,92,94,92,90,90,90


