"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","South Carolina",1020,54553,1.87,4963031,20.55
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","South Carolina",989,55497,1.78,5027102,19.67
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","South Carolina",1036,56801,1.82,5091702,20.35
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","South Carolina",1006,57939,1.74,5157702,19.50
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","South Carolina",1064,53972,1.97,5218040,20.39
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


