"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",111,133,135,136,134,116,129,130,102,141
,"Rural",96,117,118,115,114,103,109,117,84,109
,"Urban",15,16,17,21,20,13,20,13,18,32
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.23,1.46,1.48,1.47,1.44,1.22,1.34,1.34,1.03,1.45
,"Rural",1.48,1.81,1.84,1.79,1.75,1.55,1.61,1.72,1.21,1.59
,"Urban",0.59,0.61,0.63,0.75,0.71,0.45,0.69,0.44,0.60,1.10
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",85,98,100,102,94,81,93,94,72,91
,"Restrained",21,30,32,29,27,20,24,29,31,28
,"Unrestrained (C-4)",52,60,61,69,60,58,64,59,38,57
,"Unknown",12,8,7,4,7,3,5,6,3,6
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,33,44,41,44,44,46,36,46,28,49
"Speeding-Related Fatalities (C-6)",,37,39,38,30,31,37,31,52,24,42
"Motorcyclist Fatalities","Total (C-7)",14,25,22,17,31,22,16,16,14,27
,"Helmeted",3,4,7,5,9,6,6,4,6,5

,"Unhelmeted (C-8)",11,21,15,11,22,15,10,11,6,20
,"Unknown",0,0,0,1,0,1,0,1,2,2
"Drivers Involved in Fatal Crashes","Total",136,174,182,179,168,138,158,148,132,189
,"Aged Under 15",1,1,1,3,2,2,1,0,1,1
,"Aged 15-20",15,18,15,20,12,18,9,17,14,19
,"Aged Under 21 (C-9)",16,19,16,23,14,20,10,17,15,20
,"Aged 21 and Over",120,155,165,155,154,118,148,130,117,168
,"Unknown Age",0,0,1,1,0,0,0,1,0,1
"Pedestrian Fatalities (C-10)",,7,2,9,9,6,6,10,10,7,14
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,0,0,2,1,0,0,0,1,0
"Observed Seat Belt Use*** (B-1)",,73,67,69,69,74,74,75,79,75,68


