"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","South Dakota",116,9507,1.22,863693,13.43
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","South Dakota",129,9643,1.34,873732,14.76
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","South Dakota",130,9719,1.34,879386,14.78
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","South Dakota",102,9922,1.03,887127,11.50
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","South Dakota",141,9743,1.45,892717,15.79
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


