"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",937,1015,995,963,962,1037,1024,1040,1136,1217
,"Rural",542,576,534,454,482,465,494,471,514,513
,"Urban",395,439,461,509,478,568,529,569,621,704
,"Unknown",0,0,0,0,2,4,1,0,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.32,1.43,1.40,1.33,1.25,1.35,1.24,1.28,1.37,1.59
,"Rural",1.92,2.04,1.91,1.79,1.89,1.89,1.95,1.82,1.96,2.06
,"Urban",0.93,1.02,1.07,1.08,0.93,1.09,0.93,1.03,1.10,1.37
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",697,761,719,698,688,732,719,683,779,814
,"Restrained",277,307,295,296,306,347,358,347,385,351
,"Unrestrained (C-4)",366,398,349,355,332,337,298,290,343,391
,"Unknown",54,56,75,47,50,48,63,46,51,72
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,259,286,284,273,253,227,252,243,289,326
"Speeding-Related Fatalities (C-6)",,215,197,239,220,189,183,170,167,180,187

"Motorcyclist Fatalities","Total (C-7)",115,139,138,120,123,147,135,168,155,151
,"Helmeted",97,127,126,109,109,133,123,153,130,135
,"Unhelmeted (C-8)",18,9,12,10,12,13,9,12,20,15
,"Unknown",0,3,0,1,2,1,3,3,5,1
"Drivers Involved in Fatal Crashes","Total",1322,1366,1391,1335,1354,1455,1435,1511,1601,1719
,"Aged Under 15",3,1,0,2,0,3,0,1,1,2
,"Aged 15-20",138,144,117,119,104,126,113,101,150,155
,"Aged Under 21 (C-9)",141,145,117,121,104,129,113,102,151,157
,"Aged 21 and Over",1172,1215,1259,1198,1239,1296,1290,1382,1427,1495
,"Unknown Age",9,6,15,16,11,30,32,27,23,67
"Pedestrian Fatalities (C-10)",,80,67,80,86,104,97,121,136,148,172
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,8,8,5,10,9,8,8,7,13
"Observed Seat Belt Use*** (B-1)",,87,84,85,88,86,89,89,91,92,92


