"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Tennessee",1037,76884,1.35,6651277,15.59
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Tennessee",1024,82253,1.24,6714748,15.25
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Tennessee",1040,81321,1.28,6778180,15.34
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Tennessee",1136,82892,1.37,6830325,16.63
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Tennessee",1217,76392,1.59,6886834,17.67
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


