"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",3054,3408,3389,3536,3582,3797,3732,3648,3619,3874
,"Rural",1464,1696,1663,1780,1622,1590,1505,1523,1453,1503
,"Urban",1582,1711,1726,1750,1948,2205,2214,2113,2159,2368
,"Unknown",8,1,0,6,12,2,13,12,7,3
"Fatalities Per 100 Million VMT","Total (C-3)",1.29,1.43,1.39,1.45,1.39,1.40,1.37,1.29,1.26,1.49
,"Rural",2.09,2.39,2.19,2.62,2.35,2.23,2.06,1.98,1.85,2.10
,"Urban",0.95,1.02,1.02,1.00,1.03,1.10,1.11,1.03,1.03,1.25
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",2004,2228,2210,2398,2369,2377,2375,2346,2282,2430
,"Restrained",990,1098,1106,1224,1285,1234,1312,1221,1188,1156
,"Unrestrained (C-4)",842,930,907,973,879,929,868,928,868,1018
,"Unknown",172,200,197,201,205,214,195,197,226,256
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,1216,1290,1327,1446,1392,1481,1463,1471,1338,1495

"Speeding-Related Fatalities (C-6)",,1177,1251,1181,1277,1125,1076,1043,999,1116,1446
"Motorcyclist Fatalities","Total (C-7)",478,454,493,451,452,495,490,416,417,483
,"Helmeted",213,181,188,201,205,216,235,205,208,234
,"Unhelmeted (C-8)",255,264,280,234,236,267,242,194,187,233
,"Unknown",10,9,25,16,11,12,13,17,22,16
"Drivers Involved in Fatal Crashes","Total",4185,4587,4616,4850,4939,5288,5222,5175,5154,5393
,"Aged Under 15",5,4,4,4,6,10,7,5,9,12
,"Aged 15-20",419,443,439,446,461,446,460,448,437,506
,"Aged Under 21 (C-9)",424,447,443,450,467,456,467,453,446,518
,"Aged 21 and Over",3668,4024,4062,4299,4356,4678,4607,4588,4576,4686
,"Unknown Age",93,116,111,101,116,154,148,134,132,189
"Pedestrian Fatalities (C-10)",,425,482,480,479,549,675,608,616,649,687
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,45,56,48,50,52,65,59,69,66,79
"Observed Seat Belt Use*** (B-1)",,94,94,90,91,91,92,92,91,91,91


