"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Texas",3797,271263,1.40,27914064,13.60
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Texas",3732,272981,1.37,28291024,13.19
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Texas",3648,282037,1.29,28624564,12.74
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Texas",3619,288227,1.26,28986794,12.48
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Texas",3874,260582,1.49,29360759,13.19
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


