"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",243,217,220,256,278,281,273,260,248,276
,"Rural",117,95,107,125,127,121,117,93,116,111
,"Urban",126,122,113,131,151,160,156,165,131,165
,"Unknown",0,0,0,0,0,0,0,2,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.93,0.82,0.81,0.93,0.94,0.89,0.87,0.81,0.75,0.91
,"Rural",1.51,1.19,1.48,1.71,1.53,1.46,1.34,1.04,1.31,1.26
,"Urban",0.68,0.66,0.57,0.65,0.71,0.69,0.69,0.71,0.55,0.77
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",169,145,140,156,175,170,169,156,149,175
,"Restrained",74,55,70,80,85,82,78,87,88,84
,"Unrestrained (C-4)",80,77,57,71,82,74,82,50,48,65
,"Unknown",15,13,13,5,8,14,9,19,13,26
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,54,32,37,57,46,53,52,62,38,58
"Speeding-Related Fatalities (C-6)",,90,72,75,90,64,72,82,71,67,72
"Motorcyclist Fatalities","Total (C-7)",28,32,31,45,36,41,39,47,34,44

,"Helmeted",10,20,12,19,15,18,13,23,16,19
,"Unhelmeted (C-8)",18,11,19,26,18,21,25,22,16,25
,"Unknown",0,1,0,0,3,2,1,2,2,0
"Drivers Involved in Fatal Crashes","Total",340,295,287,356,419,402,395,376,349,397
,"Aged Under 15",1,1,1,0,2,3,1,0,0,3
,"Aged 15-20",37,32,32,38,39,51,39,46,36,43
,"Aged Under 21 (C-9)",38,33,33,38,41,54,40,46,36,46
,"Aged 21 and Over",298,258,248,316,375,342,344,328,306,350
,"Unknown Age",4,4,6,2,3,6,11,2,7,1
"Pedestrian Fatalities (C-10)",,30,28,28,32,47,35,42,36,38,33
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,3,6,9,5,5,6,3,6,8
"Observed Seat Belt Use*** (B-1)",,89,82,82,83,87,88,89,89,90,90


