"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Utah",281,31449,0.89,3044241,9.23
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Utah",273,31475,0.87,3103540,8.80
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Utah",260,32069,0.81,3155153,8.24
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Utah",248,32911,0.75,3203383,7.74
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Utah",276,30251,0.91,3249879,8.49
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


