"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Vermont",62,7382,0.84,624366,9.93
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Vermont",69,7424,0.93,625132,11.04
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Vermont",68,7346,0.93,624802,10.88
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Vermont",47,7346,0.64,624046,7.53
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Vermont",62,6007,1.03,623347,9.95
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


