"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Virginia",760,84463,0.90,8417651,9.03
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Virginia",839,85263,0.98,8471011,9.90
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Virginia",820,85336,0.96,8510920,9.63
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Virginia",831,85432,0.97,8556642,9.71
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Virginia",850,76110,1.12,8590563,9.89
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


