"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",454,438,436,462,551,536,563,539,538,560
,"Rural",274,271,224,214,261,240,235,240,236,243
,"Urban",178,167,212,246,287,295,316,293,298,315
,"Unknown",2,0,0,2,3,1,12,6,4,2
"Fatalities Per 100 Million VMT","Total (C-3)",0.80,0.77,0.76,0.80,0.92,0.88,0.92,0.86,0.86,1.04
,"Rural",1.61,1.60,1.43,1.35,1.58,1.41,1.37,1.38,1.35,1.57
,"Urban",0.45,0.42,0.51,0.58,0.67,0.67,0.71,0.65,0.66,0.83
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",286,259,287,297,358,332,340,327,313,333
,"Restrained",156,142,164,169,201,175,181,181,148,166
,"Unrestrained (C-4)",99,99,89,107,112,110,104,107,108,111
,"Unknown",31,18,34,21,45,47,55,39,57,56
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,157,143,151,132,145,156,177,165,181,199
"Speeding-Related Fatalities (C-6)",,169,162,184,162,157,154,174,182,152,167

"Motorcyclist Fatalities","Total (C-7)",72,83,73,69,75,81,80,80,95,91
,"Helmeted",72,78,68,69,71,77,78,75,93,87
,"Unhelmeted (C-8)",0,4,4,0,4,2,0,5,2,3
,"Unknown",0,1,1,0,0,2,2,0,0,1
"Drivers Involved in Fatal Crashes","Total",606,591,592,623,767,767,814,754,807,791
,"Aged Under 15",0,0,0,0,3,0,0,0,0,2
,"Aged 15-20",61,40,70,58,68,66,68,67,47,75
,"Aged Under 21 (C-9)",61,40,70,58,71,66,68,67,47,77
,"Aged 21 and Over",538,547,514,559,687,695,730,676,740,699
,"Unknown Age",7,4,8,6,9,6,16,11,20,15
"Pedestrian Fatalities (C-10)",,64,71,49,75,84,83,104,99,102,97
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,11,12,11,7,14,17,15,16,9,12
"Observed Seat Belt Use*** (B-1)",,98,97,95,95,95,95,95,93,93,93


