"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Washington",536,61018,0.88,7299961,7.34
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Washington",563,61420,0.92,7427951,7.58
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Washington",539,62367,0.86,7526793,7.16
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Washington",538,62530,0.86,7614024,7.07
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Washington",560,53658,1.04,7693612,7.28
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


