"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",338,339,332,272,268,269,304,294,260,267
,"Rural",239,261,241,205,190,169,203,178,167,171
,"Urban",99,78,91,67,78,99,98,116,87,89
,"Unknown",0,0,0,0,0,1,3,0,6,7
"Fatalities Per 100 Million VMT","Total (C-3)",1.78,1.76,1.73,1.42,1.35,1.38,1.59,1.51,1.36,1.66
,"Rural",2.18,2.35,2.15,1.83,1.95,1.69,2.05,1.80,1.74,2.07
,"Urban",1.24,0.96,1.13,0.84,0.77,1.04,1.07,1.21,0.92,1.14
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",263,242,247,202,192,186,219,197,169,177
,"Restrained",85,75,95,71,72,73,76,94,78,64
,"Unrestrained (C-4)",133,137,113,93,99,80,98,70,73,84
,"Unknown",45,30,39,38,21,33,45,33,18,29
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,93,94,91,84,72,68,72,58,56,76
"Speeding-Related Fatalities (C-6)",,115,144,130,66,66,60,84,88,85,60
"Motorcyclist Fatalities","Total (C-7)",27,31,24,26,32,29,26,39,28,38

,"Helmeted",21,17,16,17,25,19,16,23,19,17
,"Unhelmeted (C-8)",6,14,8,7,7,10,10,14,9,20
,"Unknown",0,0,0,2,0,0,0,2,0,1
"Drivers Involved in Fatal Crashes","Total",464,450,430,346,355,358,398,407,355,370
,"Aged Under 15",0,1,0,1,2,0,1,0,0,0
,"Aged 15-20",50,31,33,33,26,32,34,33,24,24
,"Aged Under 21 (C-9)",50,32,33,34,28,32,35,33,24,24
,"Aged 21 and Over",410,417,395,312,323,323,359,369,327,342
,"Unknown Age",4,1,2,0,4,3,4,5,4,4
"Pedestrian Fatalities (C-10)",,20,31,28,19,19,24,26,22,31,18
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,0,1,0,2,1,1,3,5,3,3
"Observed Seat Belt Use*** (B-1)",,85,84,82,88,89,87,90,91,90,90


