"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","West Virginia",269,19539,1.38,1832435,14.68
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","West Virginia",304,19072,1.59,1818683,16.72
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","West Virginia",294,19447,1.51,1805953,16.28
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","West Virginia",260,19077,1.36,1795263,14.48
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","West Virginia",267,16054,1.66,1784787,14.96
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


