"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",582,615,543,506,566,607,613,589,567,614
,"Rural",377,389,359,338,360,406,397,387,369,382
,"Urban",205,226,181,167,205,194,214,199,192,228
,"Unknown",0,0,3,1,1,7,2,3,6,4
"Fatalities Per 100 Million VMT","Total (C-3)",0.99,1.04,0.91,0.84,0.91,0.95,0.94,0.89,0.85,1.07
,"Rural",1.27,1.27,1.17,1.09,1.12,1.26,1.20,1.16,1.11,1.31
,"Urban",0.71,0.79,0.63,0.57,0.68,0.61,0.67,0.61,0.58,0.80
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",396,417,376,362,388,429,437,414,376,399
,"Restrained",170,177,158,159,176,204,210,203,180,150
,"Unrestrained (C-4)",189,201,186,161,167,183,180,154,142,179
,"Unknown",37,39,32,42,45,42,47,57,54,70
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,197,202,177,165,188,199,185,206,186,210
"Speeding-Related Fatalities (C-6)",,195,209,178,168,167,212,180,186,173,216

"Motorcyclist Fatalities","Total (C-7)",88,117,85,73,81,85,76,83,85,116
,"Helmeted",9,27,21,20,15,17,30,30,31,33
,"Unhelmeted (C-8)",78,87,62,51,65,65,42,53,54,83
,"Unknown",1,3,2,2,1,3,4,0,0,0
"Drivers Involved in Fatal Crashes","Total",785,806,796,689,797,797,836,796,792,821
,"Aged Under 15",3,2,2,0,1,4,1,0,1,2
,"Aged 15-20",80,79,56,67,76,74,89,57,80,65
,"Aged Under 21 (C-9)",83,81,58,67,77,78,90,57,81,67
,"Aged 21 and Over",699,724,731,619,711,709,735,727,707,750
,"Unknown Age",3,1,7,3,9,10,11,12,4,4
"Pedestrian Fatalities (C-10)",,57,45,37,45,57,51,56,56,59,50
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,12,11,10,4,15,11,7,4,14,12
"Observed Seat Belt Use*** (B-1)",,79,80,82,85,86,88,89,89,90,89


