"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Wisconsin",607,64046,0.95,5775170,10.51
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Wisconsin",613,65324,0.94,5793147,10.58
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Wisconsin",589,65885,0.89,5809319,10.14
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Wisconsin",567,66348,0.85,5824581,9.73
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Wisconsin",614,57600,1.07,5832655,10.53
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


