"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",135,123,87,150,145,112,123,111,147,127
,"Rural",97,101,72,121,119,91,95,96,124,102
,"Urban",38,22,15,29,24,21,28,14,20,25
,"Unknown",0,0,0,0,2,0,0,1,3,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.46,1.33,0.93,1.59,1.51,1.20,1.26,1.06,1.44,1.30
,"Rural",1.49,1.57,1.12,1.85,1.79,1.41,1.39,1.30,1.72,1.43
,"Urban",1.39,0.77,0.52,0.99,0.81,0.73,0.95,0.46,0.66,0.94
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",101,94,66,118,107,71,87,76,103,90
,"Restrained",35,41,20,48,26,21,28,33,53,43
,"Unrestrained (C-4)",63,50,41,67,79,48,55,37,47,44
,"Unknown",3,3,5,3,2,2,4,6,3,3
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,38,41,25,48,55,34,46,36,33,44
"Speeding-Related Fatalities (C-6)",,51,41,40,48,46,28,37,38,49,42
"Motorcyclist Fatalities","Total (C-7)",16,12,9,16,24,24,17,15,15,19
,"Helmeted",3,2,4,6,7,8,4,6,6,7

,"Unhelmeted (C-8)",13,10,5,10,17,16,13,9,8,10
,"Unknown",0,0,0,0,0,0,0,0,1,2
"Drivers Involved in Fatal Crashes","Total",163,161,106,187,191,153,145,137,182,173
,"Aged Under 15",0,0,0,1,0,1,1,1,1,0
,"Aged 15-20",17,12,14,13,13,14,10,13,13,13
,"Aged Under 21 (C-9)",17,12,14,14,13,15,11,14,14,13
,"Aged 21 and Over",145,147,91,173,178,138,134,123,168,159
,"Unknown Age",1,2,1,0,0,0,0,0,0,1
"Pedestrian Fatalities (C-10)",,6,6,4,5,5,4,6,6,11,6
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,0,0,5,0,1,0,0,0,1
"Observed Seat Belt Use*** (B-1)",,83,77,82,79,80,81,85,86,78,83


