"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Wyoming",112,9323,1.20,585243,19.14
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Wyoming",123,9785,1.26,579994,21.21
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Wyoming",111,10438,1.06,579054,19.17
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Wyoming",147,10208,1.44,580116,25.34
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Wyoming",127,9800,1.30,582328,21.81
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


