"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",751,781,784,745,817,829,916,860,810,897
,"Rural",477,524,535,472,521,543,558,525,492,524
,"Urban",274,257,249,273,296,285,356,334,315,373
,"Unknown",0,0,0,0,0,1,2,1,3,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.98,0.99,1.00,0.94,1.04,1.00,1.12,1.05,0.98,1.17
,"Rural",1.66,1.78,1.83,1.61,1.85,1.67,1.90,1.77,1.63,1.89
,"Urban",0.57,0.52,0.51,0.55,0.59,0.56,0.68,0.64,0.60,0.76
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",516,518,545,496,571,580,610,561,555,589
,"Restrained",252,249,279,235,277,258,300,273,263,272
,"Unrestrained (C-4)",192,214,202,190,221,251,208,210,220,226
,"Unknown",72,55,64,71,73,71,102,78,72,91
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,207,230,199,160,170,212,259,214,200,249
"Speeding-Related Fatalities (C-6)",,153,185,218,204,233,213,210,189,201,238

"Motorcyclist Fatalities","Total (C-7)",118,152,115,124,108,101,149,117,127,151
,"Helmeted",19,30,19,26,17,24,41,21,32,28
,"Unhelmeted (C-8)",95,116,82,89,79,72,105,89,89,115
,"Unknown",4,6,14,9,12,5,3,7,6,8
"Drivers Involved in Fatal Crashes","Total",1043,1109,1092,1120,1159,1205,1312,1215,1209,1252
,"Aged Under 15",1,3,2,3,3,0,1,0,2,1
,"Aged 15-20",99,127,102,84,117,107,122,121,93,111
,"Aged Under 21 (C-9)",100,130,104,87,120,107,123,121,95,112
,"Aged 21 and Over",928,963,976,1011,1018,1071,1167,1081,1093,1093
,"Unknown Age",15,16,12,22,21,27,22,13,21,47
"Pedestrian Fatalities (C-10)",,62,59,76,78,96,87,101,114,73,93
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,11,15,14,12,12,19,13,22,16,20
"Observed Seat Belt Use*** (B-1)",,93,94,92,90,92,92,93,93,95,95


