"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Indiana",829,83183,1.00,6637898,12.49
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Indiana",916,81752,1.12,6662068,13.75
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Indiana",860,81529,1.05,6698481,12.84
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Indiana",810,82719,0.98,6731010,12.03
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Indiana",897,76608,1.17,6754953,13.28
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


